Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,163.0,1.0,163.0,163.0,0.1,-1095.5,0.0,0.0,0.009039640426635742,,,,,,,,,,,,,,,,,,,,,-464.82907997845103,288.12896058473706,-10.0,-1021.7753889660555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,420.0,2.0,257.0,420.0,0.1,-1352.6000000000008,0.0,0.0,24.41567039489746,,,,,,,,,,,,,,,,,,,,,-588.2349423011758,402.50614733271925,12.946080812526517,-1245.8317099999674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,611.0,3.0,191.0,611.0,0.1,-1187.5,0.0,0.0,42.41801857948303,,,,,,,,,,,,,,,,,,,,,-571.1468276412644,288.7384296164984,-10.0,-1080.5710173842701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,829.0,4.0,218.0,829.0,0.1,-883.0999999999997,0.0,0.0,63.5340473651886,,,,,,,,,,,,,,,,,,,,,-325.7058100144544,304.9481534397798,54.53318732656947,-869.5727590352656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,926.0,5.0,97.0,926.0,0.1,-627.0,0.0,0.0,72.9046585559845,,,,,,,,,,,,,,,,,,,,,-297.9065606898476,142.66461225889424,-10.0,-599.3010664449081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,1092.0,6.0,166.0,1092.0,0.1,-134.40000000000003,0.0,0.0,88.7559323310852,,,,,,,,,,,,,,,,,,,,,24.92007679768656,99.31330452157407,166.54133010352695,-173.47801334888592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,1200.0,7.0,108.0,1200.0,0.1,-90.50000000000003,0.0,0.0,99.1404197216034,,,,,,,,,,,,,,,,,,,,,42.1322774144031,51.94556102836865,125.19011044290713,-95.24067206421186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,1234.0,8.0,34.0,1234.0,0.1,24.400000000000013,0.0,0.0,102.65763854980469,,,,,,,,,,,,,,,,,,,,,0.8909962597217579,12.080089647529965,24.418518746143015,-14.844111860111948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,1264.0,9.0,30.0,1264.0,0.1,20.70000000000001,0.0,0.0,105.81215476989746,,,,,,,,,,,,,,,,,,,,,0.26108106358106203,10.65543455022553,20.733614062603717,-13.958069930041987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,1297.0,10.0,33.0,1297.0,0.1,34.80000000000001,0.0,0.0,109.08724236488342,,,,,,,,,,,,,,,,,,,,,8.677370789526954,14.328349370282229,34.58277773664117,-9.980019990002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,1338.0,11.0,41.0,1338.0,0.1,28.30000000000001,0.0,0.0,113.238126039505,,,,,,,,,,,,,,,,,,,,,-1.1071750323261076,15.042695372661886,28.40217011438404,-20.79032934092308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,1990.0,12.0,652.0,1990.0,0.1,-1353.6999999999998,0.0,0.0,175.23804259300232,,,,,,,,,,,,,,,,,,,,,-994.0740342839025,389.0425435488639,-10.0,-1633.3463475766257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,2371.0,13.0,381.0,2371.0,0.1,167.19999999999982,0.0,0.0,211.0094063282013,,,,,,,,,,,,,,,,,,,,,-70.94047069040302,156.18107262841983,194.6173594345531,-344.11492963015536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,2448.0,14.0,77.0,2448.0,0.1,66.59999999999988,0.0,0.0,218.2749195098877,,,,,,,,,,,,,,,,,,,,,9.202408445381513,28.676287972175402,66.0233953169442,-27.14583326884469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,2708.0,15.0,260.0,2708.0,0.1,291.0000000000002,0.0,0.0,243.19768524169922,,,,,,,,,,,,,,,,,,,,,77.4612603138326,111.38706215277612,271.40260612805355,-99.55119790251791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,3211.0,16.0,503.0,3211.0,0.1,-1535.1999999999994,0.0,0.0,291.34279775619507,,,,,,,,,,,,,,,,,,,,,-1069.1400711419033,432.12788600695274,-10.0,-1676.0985346947919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,3379.0,17.0,168.0,3379.0,0.1,165.2999999999999,0.0,0.0,307.19484305381775,,,,,,,,,,,,,,,,,,,,,54.12044216047974,57.09435619239397,156.52065049738368,-38.70047934055172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,3756.0,18.0,377.0,3756.0,0.1,-1507.2000000000003,0.0,0.0,343.62713861465454,,,,,,,,,,,,,,,,,,,,,-926.8208129583583,442.44802867431747,-10.0,-1502.7733092625936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,4120.0,19.0,364.0,4120.0,0.1,-1779.0,0.0,0.0,378.4232642650604,,,,,,,,,,,,,,,,,,,,,-1002.9141311100225,502.942409661194,-10.0,-1669.8417005371705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,4156.0,20.0,36.0,4156.0,0.1,37.20000000000001,0.0,0.0,382.05423951148987,,,,,,,,,,,,,,,,,,,,,8.43564888518975,15.6686944276124,36.97022011013333,-11.970039970012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,115.0,1.0,115.0,4271.0,0.1,-1012.0,0.0,0.0,1042.0368120670319,,,,,,,,,,,,,,,,,,,,,-501.53810722038793,261.95093264138205,-10.0,-956.2346306964179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,345.0,2.0,230.0,4501.0,0.1,-1413.2000000000025,0.0,0.0,1064.335452079773,,,,,,,,,,,,,,,,,,,,,-694.4322501683843,372.83200476753973,-10.0,-1292.322881942028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,425.0,3.0,80.0,4581.0,0.1,-476.3999999999995,0.0,0.0,1072.3937990665436,,,,,,,,,,,,,,,,,,,,,-205.47920551391053,114.31798715508651,-10.0,-460.8829686131449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,491.0,4.0,66.0,4647.0,0.1,-424.0,0.0,0.0,1079.001187324524,,,,,,,,,,,,,,,,,,,,,-290.3886605001638,140.57762651699363,-10.0,-449.8001817644044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,591.0,5.0,100.0,4747.0,0.1,-647.5,0.0,0.0,1088.7818944454193,,,,,,,,,,,,,,,,,,,,,-318.840991591368,145.47302999177404,-10.0,-616.8489819557929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,640.0,6.0,49.0,4796.0,0.1,-217.0,0.0,0.0,1093.7186822891235,,,,,,,,,,,,,,,,,,,,,-179.03961157654064,72.88405896175574,-10.0,-256.77585115550426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,698.0,7.0,58.0,4854.0,0.1,-177.00000000000006,0.0,0.0,1099.608170747757,,,,,,,,,,,,,,,,,,,,,-25.838945818966742,59.045136522319716,32.74110014361417,-175.85287103169227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,757.0,8.0,59.0,4913.0,0.1,70.19999999999993,0.0,0.0,1105.424501657486,,,,,,,,,,,,,,,,,,,,,19.367810098068038,27.244732529116,69.19562125109495,-15.729267748251836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,783.0,9.0,26.0,4939.0,0.1,15.20000000000001,0.0,0.0,1108.1327316761017,,,,,,,,,,,,,,,,,,,,,-1.4114944749145621,8.695511913172117,15.267218025180117,-12.858069930041989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,807.0,10.0,24.0,4963.0,0.1,19.500000000000007,0.0,0.0,1110.672090768814,,,,,,,,,,,,,,,,,,,,,2.3871661264293995,9.448841234666054,19.48165183498383,-9.980019990002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,861.0,11.0,54.0,5017.0,0.1,65.49999999999994,0.0,0.0,1116.352576494217,,,,,,,,,,,,,,,,,,,,,19.54263687026485,24.65916906663473,64.57378059641798,-12.858069930041989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,1148.0,12.0,287.0,5304.0,0.1,289.6999999999997,0.0,0.0,1143.8508689403534,,,,,,,,,,,,,,,,,,,,,117.92476960163461,73.72015238281392,256.3680708980566,-19.69142934092308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,1256.0,13.0,108.0,5412.0,0.1,51.30000000000004,0.0,0.0,1154.3096060752869,,,,,,,,,,,,,,,,,,,,,11.562277529832231,16.32029861842896,50.15152692910937,-15.729267748251836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,1489.0,14.0,233.0,5645.0,0.1,297.6999999999999,0.0,0.0,1176.3780443668365,,,,,,,,,,,,,,,,,,,,,126.54016202905743,75.2714655078208,268.7533802543582,-13.958069930041987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,1692.0,15.0,203.0,5848.0,0.1,231.9999999999997,0.0,0.0,1195.6764149665833,,,,,,,,,,,,,,,,,,,,,96.25094111333398,63.647226694610815,212.88661930598582,-16.828167748251836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,1888.0,16.0,196.0,6044.0,0.1,258.8000000000003,0.0,0.0,1214.3332405090332,,,,,,,,,,,,,,,,,,,,,107.48369842773607,77.6399671573487,238.20937565008842,-17.711339580503584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,2161.0,17.0,273.0,6317.0,0.1,-479.5,0.0,0.0,1240.2987978458405,,,,,,,,,,,,,,,,,,,,,-472.30198749702015,164.10794619459813,-10.0,-734.3594757496438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,2270.0,18.0,109.0,6426.0,0.1,129.59999999999994,0.0,0.0,1251.1900844573975,,,,,,,,,,,,,,,,,,,,,46.63716735536296,44.65080799001157,124.76595590411773,-19.69142934092308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,2426.0,19.0,156.0,6582.0,0.1,-470.0999999999997,0.0,0.0,1266.045287847519,,,,,,,,,,,,,,,,,,,,,-373.33843693801157,156.784526537066,-10.0,-555.249676240974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,2462.0,20.0,36.0,6618.0,0.1,36.80000000000001,0.0,0.0,1269.850373506546,,,,,,,,,,,,,,,,,,,,,8.666117932274542,15.154574795984574,36.56110540414101,-10.870039970012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,333.0,1.0,333.0,6951.0,0.1,-1891.6000000000017,0.0,0.0,1694.5201575756073,,,,,,,,,,,,,,,,,,,,,-693.1904652334185,513.3423002657959,47.48231881776831,-1664.0940991815355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,401.0,2.0,68.0,7019.0,0.1,-428.5,0.0,0.0,1701.2186007499695,,,,,,,,,,,,,,,,,,,,,-287.93901409415685,134.3351698448133,-10.0,-430.6710932798709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,443.0,3.0,42.0,7061.0,0.1,-341.79999999999995,0.0,0.0,1705.522706270218,,,,,,,,,,,,,,,,,,,,,-150.81020916680984,110.54285715463718,-2.0,-336.13791089888076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,532.0,4.0,89.0,7150.0,0.1,-550.9999999999999,0.0,0.0,1714.2187695503235,,,,,,,,,,,,,,,,,,,,,-307.9616567821737,202.52846578809223,-2.0,-565.9865928411747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,613.0,5.0,81.0,7231.0,0.1,-459.7999999999997,0.0,0.0,1722.3279609680176,,,,,,,,,,,,,,,,,,,,,-196.59538716047285,108.21714790971104,-10.0,-444.76485859232776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,672.0,6.0,59.0,7290.0,0.1,-332.5,0.0,0.0,1728.2388808727264,,,,,,,,,,,,,,,,,,,,,-244.07376898775178,110.90104912385831,-10.0,-363.4170438858247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,753.0,7.0,81.0,7371.0,0.1,-166.90000000000006,0.0,0.0,1736.1789197921753,,,,,,,,,,,,,,,,,,,,,-6.27453371863974,55.986251520252964,62.177026027536776,-166.7250461360161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,844.0,8.0,91.0,7462.0,0.1,124.19999999999993,0.0,0.0,1745.2427897453308,,,,,,,,,,,,,,,,,,,,,44.41156258769035,42.02979069351286,120.39922585700828,-14.844111860111948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,869.0,9.0,25.0,7487.0,0.1,13.20000000000001,0.0,0.0,1747.9022052288055,,,,,,,,,,,,,,,,,,,,,-2.158032286197342,8.028927417717258,13.280498523703823,-12.858069930041989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,898.0,10.0,29.0,7516.0,0.1,24.60000000000001,0.0,0.0,1751.0299925804138,,,,,,,,,,,,,,,,,,,,,3.1592139021723993,11.609714298747761,24.557473185735287,-11.970039970012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,956.0,11.0,58.0,7574.0,0.1,60.79999999999998,0.0,0.0,1756.805341720581,,,,,,,,,,,,,,,,,,,,,18.62822788607168,21.393819491904523,59.83918130603864,-11.970039970012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
